Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	CD
Hanging Around The day Part 2	The Polyphonic Spree		The Beginning Stages of...		Rock/Pop	2905654	159			7			11/4/03 10:17 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Polyphonic Spree:The Beginning Stages Of:07 - The Polyphonic Spree - Hanging Around The Day Part 2.mp3	242
Soldier Girl	The Polyphonic Spree		The Beginning Stages of...		Rock/Pop	4180012	239			8			11/4/03 10:21 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Polyphonic Spree:The Beginning Stages Of:08 - The Polyphonic Spree - Soldier Girl.mp3	242
Light And Day/Reach For The Sun	The Polyphonic Spree		The Beginning Stages of...		Rock/Pop	622592	16			9			11/4/03 10:22 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Polyphonic Spree:The Beginning Stages Of:09 - The Polyphonic Spree - Light And Day_Reach For The Sun.mp3	242
Welcome to the monkey house	The Dandy Warhols		Welcome To The Monkey House			1025197	64			1	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:01Welcometothemonkeyhouse.mp3	242
We used to be friends	The Dandy Warhols		Welcome To The Monkey House			3201087	199			2	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:02Weusedtobefriends.mp3	242
Plan a	The Dandy Warhols		Welcome To The Monkey House			3866881	241			3	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:03Plan.mp3	242
The dope (wonderful you)	The Dandy Warhols		Welcome To The Monkey House			4434488	277			4	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:04Thedopewonderfulyou.mp3	242
I am a scientist	The Dandy Warhols		Welcome To The Monkey House			3092831	193			5	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:05Iamascientist.mp3	242
I am over it	The Dandy Warhols		Welcome To The Monkey House			3688418	230			6	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:06Iamoverit.mp3	242
The Dany Warhols love almost everyone	The Dandy Warhols		Welcome To The Monkey House			1827271	114			7	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:07TheDanyWarholslovealmoste.mp3	242
Insincere because i	The Dandy Warhols		Welcome To The Monkey House			3666692	229			8	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:08Insincerebecausei.mp3	242
You were the last high	The Dandy Warhols		Welcome To The Monkey House			4587877	286			9	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:09Youwerethelasthigh.mp3	242
Heavenly	The Dandy Warhols		Welcome To The Monkey House			3470659	216			10	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:10Heavenly.mp3	242
I am sound	The Dandy Warhols		Welcome To The Monkey House			3840973	240			11	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:11Iamsound.mp3	242
Hit rock bottom	The Dandy Warhols		Welcome To The Monkey House			2780615	173			12	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:12Hitrockbottom.mp3	242
You come in burned	The Dandy Warhols		Welcome To The Monkey House			7084762	442			13	13		11/5/03 8:39 AM	1/23/04 12:34 PM	128	44100		MPEG audio file						MP3Vol242:The Dandy Warhols:Welcome To The Monkey House:13Youcomeinburned.mp3	242
