Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	323
16 Down This Road	The Chimpunks					3371136	168						10/15/04 10:48 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 16 Down This Road.mp3	323
17 Life During Wartime	The Chimpunks					1679488	83						10/15/04 10:50 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 17 Life During Wartime.mp3	323
18 Paper Thin	The Chimpunks					3039360	151						10/15/04 10:55 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 18 Paper Thin.mp3	323
19 Losing Streak	The Chimpunks					3326080	166						10/15/04 10:59 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 19 Losing Streak.mp3	323
20 Escape from the A-Bomb House	The Chimpunks					3813504	190						10/15/04 11:05 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 20 Escape from the A-Bomb House.mp3	323
21 DI (Woodburning Mix)	The Chimpunks					2547840	127						10/15/04 11:08 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 21 DI (Woodburning Mix).mp3	323
22 Infrared	The Chimpunks					4300928	214						10/15/04 11:15 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 22 Infrared.mp3	323
23 The Ocean Song	The Chimpunks					4038784	201						10/15/04 11:20 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 23 The Ocean Song.mp3	323
24 Los Angeles is Burning	The Chimpunks					3276928	163						10/15/04 2:59 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 24 Los Angeles is Burning.mp3	323
25 The Decline	The Chimpunks					2732160	136						10/15/04 3:03 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 25 The Decline.mp3	323
26 Quartet Outtake	The Chimpunks					3051648	152						10/15/04 3:11 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Jump the Shark:The Chimpunks - 26 Quartet Outtake.mp3	323
Bullion	The Chimpunks					1773568	110						10/15/04 5:12 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - Bullion.mp3	323
Drive-Thru Drive-By	The Chimpunks					1486848	92						10/15/04 5:15 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - Drive-Thru Drive-By.mp3	323
Dumb Reminders	The Chimpunks					2162688	134						10/15/04 5:20 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - Dumb Reminders.mp3	323
efiL dellaC-oS yM	The Chimpunks					2396160	148						10/15/04 5:26 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - efiL dellaC-oS yM.mp3	323
eiD annoG ylnO er'eW	The Chimpunks					2285568	142						10/15/04 5:31 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - eiD annoG ylnO er'eW.mp3	323
Freegan	The Chimpunks					790528	48						10/15/04 5:33 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - Freegan.mp3	323
Linoleum	The Chimpunks					1757184	109						10/15/04 5:37 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - Linoleum.mp3	323
Love Story	The Chimpunks					1900544	118						10/15/04 5:42 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - Love Story.mp3	323
Mind of My Own	The Chimpunks					2633728	164						10/15/04 5:48 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - Mind of My Own.mp3	323
My So-Called Life	The Chimpunks					2375680	148						10/15/04 5:54 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - My So-Called Life.mp3	323
Resisting Tyrannical Government	The Chimpunks					2490368	155						10/15/04 6:00 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - Resisting Tyrannical Government.mp3	323
Sleeping In (A Cappella)	The Chimpunks					2482176	123						10/15/04 6:06 AM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - Sleeping In (A Cappella).mp3	323
Sleeping In	The Chimpunks					2392064	149						10/15/04 6:12 AM	10/18/04 1:23 PM	128	44100		MPEG audio file						MP3Vol323:The Chimpunks Take the Piss:The Chimpunks - Sleeping In.mp3	323
