Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	366
Big lizard	Dead Milkmen		Big Lizard in my Backyard		Punk	1888314	117			9			6/20/05 2:02 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 09 - Big Lizard.mp3	366
Gorilla Girl	Dead Milkmen		Big Lizard in my Backyard		Punk	1484573	92			10			6/20/05 2:02 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 10 - Gorilla Girl.mp3	366
Bitchin' Camaro	Dead Milkmen		Big Lizard in my Backyard		Punk	2542953	181			11			6/20/05 2:03 PM	7/19/05 11:46 AM	112	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 11 - Bitchin' Camaro.mp3	366
Fillet of Sole	Dead Milkmen		Big Lizard in my Backyard		Punk	1876202	117			12			6/20/05 2:04 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 12 - Fillet Of Sole.mp3	366
Spit Sink	Dead Milkmen		Big Lizard in my Backyard		Punk	2047143	127			13			6/20/05 2:05 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 13 - Spit Sink.mp3	366
Violent School	Dead Milkmen		Big Lizard in my Backyard		Punk	1880192	117			14			6/20/05 2:06 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 14 - Violent School.mp3	366
Takin Retards to the Zoo	Dead Milkmen		Big Lizard in my Backyard		Punk	776980	48			15			6/20/05 2:06 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 15 - Takin Retards To The Zoo.mp3	366
Junkie	Dead Milkmen		Big Lizard in my Backyard		Punk	829625	51			16			6/20/05 2:06 PM	7/19/05 11:46 AM	128	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 16 - Junkie.mp3	366
Right Wing Pigeons	Dead Milkmen		Big Lizard in my Backyard		Punk	2828213	141			17			6/20/05 2:08 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 17 - Right Wing Pigeons.mp3	366
Dean's Dream	Dead Milkmen		Big Lizard in my Backyard		Punk	2184550	109			18			6/20/05 2:09 PM	7/19/05 11:46 AM	160	44100		MPEG audio file						MP3Vol366:Dead Milkmen:Big Lizard In My Backyard:Dead Milkmen - Big Lizard In My Backyard - 18 - Dean's Dream.mp3	366
