Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	284
Gentle on My Mind (with Glen 	Johnny Cash		Unearthed - Redemption Songs 		Country	3273912	204					9999	6/22/04 1:11 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:12 - Gentle on My Mind (with Glen Campbell) - Johnny Cash.mp3	284
You Are My Sunshine - Johnny 	Johnny Cash		Unearthed - Redemption Songs 		Country	3173982	198					9999	6/22/04 1:16 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:13 - You Are My Sunshine - Johnny Cash.mp3	284
You'll Never Walk Alone - Joh	Johnny Cash		Unearthed - Redemption Songs 		Country	2868035	179					9999	6/22/04 1:19 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:14 - You'll Never Walk Alone - Johnny Cash.mp3	284
The Man Comes Around (Early T	Johnny Cash		Unearthed - Redemption Songs 		Country	3673861	229					9999	6/22/04 1:23 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 3 - Redemption Songs:15 - The Man Comes Around (Early Take) - Johnny Cash.mp3	284
Where We'll Never Grow Old	Johnny Cash		Unearthed Volume Four: My Mot		Country	3378364	211					9999	6/22/04 1:26 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:01 - Where We'll Never Grow Old.mp3	284
I Shall Not Be Moved	Johnny Cash		Unearthed Volume Four: My Mot		Country	2582987	161					9999	6/22/04 1:26 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:02 - I Shall Not Be Moved.mp3	284
I Am A Pilgrim	Johnny Cash		Unearthed Volume Four: My Mot		Country	2362723	147					9999	6/22/04 1:29 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:03 - I Am A Pilgrim.mp3	284
Do Lord	Johnny Cash		Unearthed Volume Four: My Mot		Country	2127830	132					9999	6/22/04 1:32 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:04 - Do Lord.mp3	284
When The Roll Is Called Up Yo	Johnny Cash		Unearthed Volume Four: My Mot		Country	1543941	96					9999	6/22/04 1:32 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:05 - When The Roll Is Called Up Yonder.mp3	284
If We Never Meet Again This S	Johnny Cash		Unearthed Volume Four: My Mot		Country	2417893	151					9999	6/22/04 1:36 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:06 - If We Never Meet Again This Side Of Heaven.mp3	284
I'll Fly Away	Johnny Cash		Unearthed Volume Four: My Mot		Country	1830661	114					9999	6/22/04 1:37 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:07 - I'll Fly Away.mp3	284
Where The Soul Of Man Never D	Johnny Cash		Unearthed Volume Four: My Mot		Country	2170088	135					9999	6/22/04 1:41 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:08 - Where The Soul Of Man Never Dies.mp3	284
Let The Lower Lights Be Burni	Johnny Cash		Unearthed Volume Four: My Mot		Country	3107108	194					9999	6/22/04 1:45 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:09 - Let The Lower Lights Be Burning.mp3	284
When He Reached Down	Johnny Cash		Unearthed Volume Four: My Mot		Country	2149982	134					9999	6/22/04 1:45 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:10 - When He Reached Down.mp3	284
In The Sweet By And By	Johnny Cash		Unearthed Volume Four: My Mot		Country	2320091	144					9999	6/22/04 1:47 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:11 - In The Sweet By And By.mp3	284
I'm Bound For The Promised La	Johnny Cash		Unearthed Volume Four: My Mot		Country	2166700	135					9999	6/22/04 1:50 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:12 - I'm Bound For The Promised Land.mp3	284
In The Garden	Johnny Cash		Unearthed Volume Four: My Mot		Country	3171056	198					9999	6/22/04 1:59 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:13 - In The Garden.mp3	284
Softly And Tenderly	Johnny Cash		Unearthed Volume Four: My Mot		Country	3156427	197					9999	6/22/04 1:59 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:14 - Softly And Tenderly.mp3	284
Just As I Am	Johnny Cash		Unearthed Volume Four: My Mot		Country	2530324	158					9999	6/22/04 1:57 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 4 - My Mother's Hymn Book:15 - Just As I Am.mp3	284
Delia's Gone	Johnny Cash		Unearthed Volume Five. Best o		Country	2236081	139					9999	6/22/04 1:59 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 5 - Best Of Cash On American:01 - Delia's Gone.mp3	284
Bird on a Wire	Johnny Cash		Unearthed Volume Five. Best o		Country	3905410	244					9999	6/22/04 2:14 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 5 - Best Of Cash On American:02 - Bird on a Wire.mp3	284
Thirteen	Johnny Cash		Unearthed Volume Five. Best o		Country	3254648	203					9999	6/22/04 2:12 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 5 - Best Of Cash On American:03 - Thirteen.mp3	284
Rowboat	Johnny Cash		Unearthed Volume Five. Best o		Country	3608241	225					9999	6/22/04 2:14 AM	6/23/04 1:54 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:Vol. 5 - Best Of Cash On American:04 - Rowboat.mp3	284
